world,axis,status,last_robust_value,first_failing_value,last_robust_permanence,first_failing_permanence,last_robust_capture,first_failing_capture,last_robust_mi,first_failing_mi
W6_mutation_corridor,action_channel_cost_scale,none_in_range,action_channel_cost_scale=3.00,,1.0,,0.40847923911861084,,0.013768543222638912,
W6_mutation_corridor,adversarial_pressure,bracketed,adversarial_pressure=1.20,adversarial_pressure=1.40,0.7,0.175,0.48277912431507986,0.5484587143583585,0.010573394142446386,0.0045785602623476095
W6_mutation_corridor,cap_tightness,none_in_range,share=0.32;strength=0.82,,1.0,,0.4046222270108627,,0.013700742092201018,
W6_mutation_corridor,catastrophe_severity,none_in_range,catastrophe_severity=1.60,,1.0,,0.40847923911861084,,0.013768543222638912,
W6_mutation_corridor,delay,none_in_range,delay=6.00,,1.0,,0.4191541514369052,,0.02163328666436772,
W6_mutation_corridor,mutation_rate,none_in_range,mutation_rate=0.30,,1.0,,0.406401193595259,,0.011135134259443142,
W6_mutation_corridor,resource_concentration_pressure,none_in_range,resource_concentration_pressure=2.00,,1.0,,0.3498463946925877,,0.00015160640982866448,
W6_mutation_corridor,signal_informativeness,none_in_range,signal_informativeness=6.00,,1.0,,0.4191541514369052,,0.02163328666436772,
W6_mutation_corridor,t_irrev,none_in_range,t_irrev=12.00,,1.0,,0.40847923911861084,,0.013768543222638912,
W3_catastrophe_ambiguity,action_channel_cost_scale,none_in_range,action_channel_cost_scale=3.00,,0.8625,,0.44746764131192035,,0.01321358366231872,
W3_catastrophe_ambiguity,adversarial_pressure,bracketed,adversarial_pressure=1.00,adversarial_pressure=1.20,0.8625,0.35,0.44746764131192035,0.5304017926405165,0.01321358366231872,0.010161458486815027
W3_catastrophe_ambiguity,cap_tightness,none_in_range,share=0.32;strength=0.82,,0.8875,,0.44777299612715893,,0.013110341550813859,
W3_catastrophe_ambiguity,catastrophe_severity,none_in_range,catastrophe_severity=1.60,,0.875,,0.4435912075788687,,0.01313984621812454,
W3_catastrophe_ambiguity,delay,none_in_range,delay=6.00,,0.8875,,0.4613599947435135,,0.019068836596111728,
W3_catastrophe_ambiguity,mutation_rate,none_in_range,mutation_rate=0.30,,0.9875,,0.42822528230217644,,0.011319634854811004,
W3_catastrophe_ambiguity,resource_concentration_pressure,none_in_range,resource_concentration_pressure=2.00,,0.9875,,0.40163535178988435,,0.009733836354894963,
W3_catastrophe_ambiguity,signal_informativeness,none_in_range,signal_informativeness=6.00,,0.8875,,0.4613599947435135,,0.019068836596111728,
W3_catastrophe_ambiguity,t_irrev,none_in_range,t_irrev=12.00,,0.8625,,0.44746764131192035,,0.01321358366231872,
W4_scavenger_catastrophe,action_channel_cost_scale,none_in_range,action_channel_cost_scale=3.00,,0.7125,,0.48789134408490875,,0.006775866494031994,
W4_scavenger_catastrophe,adversarial_pressure,bracketed,adversarial_pressure=1.00,adversarial_pressure=1.20,0.7125,0.4375,0.48789134408490875,0.5097877942990693,0.006775866494031994,0.009724644975507431
W4_scavenger_catastrophe,cap_tightness,bracketed,share=0.18;strength=0.62,share=0.18;strength=0.82,0.7125,0.5875,0.48789134408490875,0.492381966918617,0.006775866494031994,0.006261655009686809
W4_scavenger_catastrophe,catastrophe_severity,none_in_range,catastrophe_severity=1.60,,0.65,,0.48962866417338013,,0.006403092637569751,
W4_scavenger_catastrophe,delay,bracketed,delay=2.00,delay=3.00,0.7125,0.4125,0.48789134408490875,0.5165012089862073,0.006775866494031994,0.009001480365705373
W4_scavenger_catastrophe,mutation_rate,none_in_range,mutation_rate=0.30,,0.75,,0.48006620245542136,,0.004654414789356914,
W4_scavenger_catastrophe,resource_concentration_pressure,none_in_range,resource_concentration_pressure=2.00,,0.9875,,0.42174311994912406,,0.0,
W4_scavenger_catastrophe,signal_informativeness,bracketed,signal_informativeness=2.00,signal_informativeness=3.00,0.7125,0.4125,0.48789134408490875,0.5165012089862073,0.006775866494031994,0.009001480365705373
W4_scavenger_catastrophe,t_irrev,none_in_range,t_irrev=12.00,,0.7125,,0.48789134408490875,,0.006775866494031994,
